#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2026-02-26T09:20:33 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-26T09:20:33	  Query execution date
#INFO	request=https://vizier.u-strasbg.fr/viz-bin/asu-tsv?-source=J/ApJ/856/23/members&-out.all=1	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#INFO	MaxTuples=50000	

#RESOURCE=yCat_18560023
#Name: J/ApJ/856/23
#Title: BANYAN. XI. The BANYAN {Sigma} algorithm (Gagne+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/apj/856/23	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/856/23	    IVOID of underlying data collection
#INFO	creator=Gagne J.	    First author or institution
#INFO	cites=bibcode:2018ApJ...856...23G	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/856/23	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18560023	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-01-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_856_23_members:
#Name: J/ApJ/856/23/members
#Title: Literature compilation of bona fide members (tables 5 and 7)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Assoc	(a6)	Association short name (G1)	[ucd=meta.id.parent]
#Column	Main	(a27)	Main designation	[ucd=meta.id;meta.main]
#Column	SpT	(a13)	Spectral Type	[ucd=src.spType]
#Column	RAJ2000	(A11)	[0/23]? Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	? Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F7.2)	[-604/435]? Proper motion in RA, pm*cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F5.2)	[0.02/20]? Uncertainty on pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F7.2)	[-729/356]? Proper motion in DE	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F5.2)	[0.01/20]? Uncertainty on pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	RVel	(F6.2)	[-23.7/45]? Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RVel	(F5.2)	[0.03/7]? Uncertainty on RVel	[ucd=stat.error;spect.dopplerVeloc]
#Column	Dist	(F6.2)	[7.1/210]? Trigonometric distance	[ucd=pos.distance;pos.heliocentric]
#Column	e_Dist	(F5.2)	[0/30]? Uncertainty on Dist	[ucd=stat.error]
#Column	Comp	(A11)	Companion Flag (G2)	[ucd=meta.code.error]
#Column	r_SpT	(I3)	? Reference for spectral type (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	r_pm	(I3)	? Reference for proper motion (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	r_RVel	(a10)	Reference(s) for radial velocity (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	r_Dist	(I3)	? Reference for trigonometric distance (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	2MASS	(A17)	2MASS designation (JHHMMSSss+DDMMSSs)	[ucd=meta.id.cross]
#Column	WISEA	(A19)	ALLWISE designation (JHHMMSS.ss+DDMMSS.s)	[ucd=meta.id.cross]
#Column	Gaia	(I19)	? Gaia-DR1 Source ID (<Gaia DR1 NNNNNNNNNNNNNNNNNNN> in Simbad)	[ucd=meta.id.cross]
#Column	OName	(a42)	Other name(s), separated by ";"	[ucd=meta.id]
#Column	SimbadName	(a26)	Simbad column added by the CDS	[ucd=meta.id]
recno	Assoc	Main	SpT	RAJ2000	DEJ2000	pmRA	e_pmRA	pmDE	e_pmDE	RVel	e_RVel	Dist	e_Dist	Comp	r_SpT	r_pm	r_RVel	r_Dist	2MASS	WISEA	Gaia	OName	SimbadName
      15	ABDMG 	HD 17332 A                 	G0           	02 47 27.55	+19 22 16.2	 117.53	 0.06	-158.88	 0.06	  4.30	 0.20	 33.50	 0.30	           	  7	  5	 18       	  5	J02472738+1922192	J024727.42+192217.9	  84625630418741760	HIP 13027 A                               	HD 17332 A
      16	ABDMG 	HD 17332 B                 	G5           	02 47 27.34	+19 22 18.4	       	     	       	     	      	     	      	     	[COMPANION]	  7	   	          	   	                 	                   	  84625630419434496	HIP 13027 B                               	HD 17332 B
      17	ABDMG 	41 Ari AB                  	B8Vn         	02 49 59.03	+27 15 37.8	  66.80	 0.20	-116.50	 0.20	  4.00	 4.00	 50.80	 0.50	           	 19	 16	 20       	 16	J02495902+2715381	J024959.11+271536.9	                   	HD 17573; HIP 13209                       	2MASS J02495902+2715381
      18	ABDMG 	IS Eri                     	G0V          	03 09 42.38	-09 34 48.3	  89.96	 0.09	-112.50	 0.10	 14.50	 0.70	 38.30	 0.40	           	 21	  5	 12       	  5	J03094227-0934463	J030942.34-093447.6	5166951382002967552	HIP 14684                                 	IS Eri
      19	ABDMG 	HIP 14809                  	G5           	03 11 13.90	+22 24 55.2	  55.70	 0.10	-125.19	 0.09	  5.20	 0.40	 50.70	 0.60	           	 22	  5	 23       	  5	J03111383+2224571	J031113.87+222455.7	 110365094546179200	                                          	HIP 14809
      20	ABDMG 	HIP 14807                  	K6           	03 11 12.33	+22 25 22.9	  55.00	 4.00	-134.00	 4.00	  4.10	 0.30	 53.00	 9.00	[COMPANION]	  7	 16	 17       	 16	J03111233+2225228	J031112.37+222521.5	                   	                                          	HIP 14807
      21	ABDMG 	HD 20888                   	A3V          	03 17 59.22	-66 55 36.5	  57.51	 0.02	  13.63	 0.02	 26.00	 0.50	 60.00	 1.00	           	 24	  5	 25       	  5	J03175907-6655367	J031759.19-665536.0	4671503814665664896	HIP 15353                                 	HD 20888
      22	ABDMG 	V577 Per A                 	G5V          	03 33 13.59	+46 15 23.9	  68.59	 0.09	-175.38	 0.06	 -6.00	 0.30	 36.30	 0.30	           	 11	  5	 17       	  5	J03331347+4615269	J033313.55+461524.7	 248004468371634176	HD 21845 A                                	2MASS J03331347+4615269
      23	ABDMG 	V577 Per B                 	M0V          	03 33 14.15	+46 15 16.4	       	     	       	     	      	     	      	     	[COMPANION]	 11	   	          	   	J03331403+4615194	                   	 248004468374684544	HD 21845 B                                	2MASS J03331403+4615194
      24	ABDMG 	HIP 17695                  	M2.5Ve       	03 47 23.52	-01 58 24.1	 180.40	 0.20	-274.10	 0.10	 18.90	 0.50	 16.90	 0.10	           	 11	  5	  9       	  5	J03472333-0158195	J034723.46-015822.8	3250328273477242624	                                          	HIP 17695
      25	ABDMG 	2MASS J03552337+1133437    	L3-L6{gamma} 	03 55 23.60	+11 33 34.3	 221.00	 1.00	-623.00	 1.00	 11.90	 0.20	  9.10	 0.10	           	   	  2	 26       	  2	J03552337+1133437	J035523.53+113337.2	3303349202364648320	                                          	2MASS J03552337+1133437
      26	ABDMG 	HD 25457                   	F5V          	04 02 36.75	-00 16 07.9	 149.00	 0.40	-253.00	 0.40	 17.60	 0.20	 18.80	 0.10	           	  7	 16	 27       	 16	J04023675-0016078	J040236.87-001610.8	                   	HIP 18859                                 	HD 25457
      27	ABDMG 	HD 25953                   	F5V          	04 06 41.57	+01 41 00.7	  36.57	 0.06	 -94.59	 0.04	 16.00	 1.00	 57.00	 1.00	           	 11	  5	 20       	  5	J04064153+0141020	J040641.55+014101.1	3258856085664548608	HIP 19183                                 	HD 25953
      28	ABDMG 	LP 776-25                  	M3Ve         	04 52 24.54	-16 49 25.1	 123.00	 1.00	-213.00	 1.00	 27.00	 2.00	 15.80	 0.10	           	 14	  5	 15       	  5	J04522441-1649219	J045224.49-164924.1	2980822030590414976	                                          	LP 776-25
      29	ABDMG 	CD-56 1032 A               	M3Ve         	04 53 31.43	-55 51 36.0	 126.80	 0.10	  75.90	 0.10	 32.00	 4.00	 11.00	 0.00	           	 15	  5	 28       	  5	J04533054-5551318	J045330.77-555131.7	4776266794388393472	HIP 22738 A                               	CD-56 1032 A
      30	ABDMG 	CD-56 1032 B               	M3Ve         	04 53 30.81	-55 51 30.6	 130.00	 3.00	  73.00	 3.00	      	     	      	     	[COMPANION]	 15	 29	          	   	                 	                   	4776266794389198720	HIP 22738 B                               	CD-56 1032 B
      31	ABDMG 	HD 35650 AB                	K6e          	05 24 30.23	-38 58 11.6	  43.14	 0.07	 -57.31	 0.09	 31.90	 0.30	 17.40	 0.10	           	 11	  5	 30       	  5	J05243016-3858106	J052430.22-385811.3	4819591916209544320	HIP 25283 AB                              	2MASS J05243016-3858106
      32	ABDMG 	LP 717-36                  	M3.5         	05 25 41.67	-09 09 12.3	  40.00	 5.00	-190.00	 5.00	 26.30	 0.30	 21.00	 2.00	           	 14	 31	 14       	  9	J05254166-0909123	J052541.69-090914.5	                   	                                          	LP 717-36
      33	ABDMG 	AB Dor Aab                 	K2V          	05 28 44.96	-65 26 52.8	  46.86	 0.05	 140.50	 0.10	 32.00	 2.00	 13.70	 0.10	           	 32	  5	 20       	 30	J05284484-6526551	J052844.87-652651.6	4660766258998862592	HIP 25647 Aab                             	2MASS J05284484-6526551
      34	ABDMG 	AB Dor Bab                 	M5Ve         	05 28 44.47	-65 26 46.3	       	     	       	     	      	     	      	     	[COMPANION]	 33	   	          	   	                 	                   	                   	HIP 25647 Bab                             	WDS J05287-6527Ba,Bb
      35	ABDMG 	UY Pic                     	K0V          	05 36 56.89	-47 57 52.9	  23.30	 0.30	  -1.20	 0.20	 32.20	 0.20	 24.50	 0.10	           	  7	  5	 34       	  5	J05365685-4757528	J053656.89-475752.8	4795598304748572544	HIP 26373                                 	V* UY Pic
      36	ABDMG 	HIP 26369 B                	K7           	05 36 55.10	-47 57 48.1	       	     	       	     	      	     	      	     	[COMPANION]	  7	   	          	   	                 	                   	                   	                                          	V* UY Pic
      37	ABDMG 	HIP 26369 A                	K7V          	05 36 55.14	-47 57 47.9	  29.30	 0.40	  12.50	 0.40	 32.20	 0.20	 25.70	 0.30	[COMPANION]	 11	  5	 34       	  5	J05365509-4757481	J053655.13-475748.0	4795596827281131904	                                          	2MASS J05365509-4757481
      38	ABDMG 	WX Col A                   	K1V          	05 37 12.93	-42 42 55.8	   8.40	 0.20	 -10.10	 0.20	 30.50	 0.30	 80.00	 1.00	           	 11	  5	 34       	  5	J05371292-4242556	J053713.07-424256.3	4802947440468558464	HIP 26401 A                               	2MASS J05371292-4242556
      39	ABDMG 	WX Col B                   	G7V          	05 37 13.26	-42 42 57.5	       	     	       	     	 30.80	 0.40	      	     	[COMPANION]	 11	   	 34       	   	                 	                   	4802947440468558592	HIP 26401 B                               	WDS J05372-4243B
      40	ABDMG 	CD-35 2722                 	M1Ve         	06 09 19.20	-35 49 31.9	  -4.00	 2.00	 -57.00	 2.00	 31.40	 0.40	 22.10	 0.20	           	 35	  5	 30       	  5	J06091922-3549311	J060919.19-354931.6	2885863396053210496	                                          	CD-35 2722
      41	ABDMG 	HD 45270 AB                	G1V          	06 22 30.92	-60 13 06.2	 -11.42	 0.03	  64.56	 0.03	 31.60	 0.20	 23.80	 0.20	           	 30	  5	 20       	  5	J06223097-6013072	J062230.92-601306.4	5481848419822114560	HIP 30314 AB                              	2MASS J06223097-6013072
      42	ABDMG 	AK Pic AB                  	G1.5V        	06 38 00.37	-61 32 00.2	 -48.00	 1.00	  72.70	 0.90	 32.00	 1.00	 21.30	 0.40	           	  7	 16	 36       	 16	J06380036-6132001	J063800.31-613159.5	                   	HIP 31711 AB                              	2MASS J06380036-6132001
      43	ABDMG 	CD-61 1439 A               	K7V          	06 39 49.97	-61 28 40.4	 -27.00	 0.10	  74.96	 0.09	 30.50	 0.70	 22.10	 0.10	           	 11	  5	 30       	  5	J06395003-6128417	J063949.98-612840.7	5479782643632182656	HIP 31878 A                               	2MASS J06395003-6128417
      44	ABDMG 	CD-61 1439 B               	K7           	06 39 49.97	-61 28 40.4	       	     	       	     	      	     	      	     	[COMPANION]	  7	   	          	   	                 	                   	                   	HIP 31878 B                               	CD-61 1439
      45	ABDMG 	V429 Gem                   	K5Ve         	07 23 43.52	+20 24 55.2	 -67.00	 2.00	-230.00	 2.00	  8.30	 0.80	 27.70	 0.20	           	 37	  5	 12       	  9	J07234358+2024588	J072343.54+202456.2	3363049071685181056	BD+20 1790                                	V429 Gem
      46	ABDMG 	GJ 2060 A                  	M1.3         	07 28 51.23	-30 14 51.8	-131.00	 2.00	-131.00	 3.00	 28.00	 1.00	 15.70	 0.50	           	  9	 16	 30       	 16	J07285137-3014490	J072851.27-301450.8	5605469398353836544	V372 Pup A; HIP 36349 A                   	GJ 2060 A
      47	ABDMG 	GJ 2060 C                  	M5.0         	07 28 51.02	-30 15 55.7	-130.00	10.00	-180.00	10.00	 31.00	 5.00	 14.90	 0.70	[COMPANION]	  9	  9	 38       	  9	J07285117-3015527	                   	5605469299570245504	V372 Pup C; HIP 36349 C                   	GJ 2060 C
      48	ABDMG 	GJ 2060 B                  	M1.5         	07 28 51.34	-30 14 41.3	       	     	       	     	      	     	      	     	[COMPANION]	  9	   	          	   	                 	                   	5605469402649435008	V372 Pup B; HIP 36349 B                   	GJ 2060 B
      49	ABDMG 	BD+01 2447                 	M2V          	10 28 55.56	+00 50 27.5	-604.00	 2.00	-729.00	 2.00	  8.29	 0.09	  7.10	 0.10	           	 11	 16	 39       	 16	J10285555+0050275	J102855.13+005020.1	                   	                                          	BD+01 2447
      50	ABDMG 	2MASS J11101001+0116130    	T5.5pec      	11 10 09.89	+01 16 11.9	-217.10	 0.70	-280.90	 0.60	  8.00	 4.00	 19.19	 0.04	           	 40	 41	 42       	 41	J11101001+0116130	J111009.83+011610.1	                   	SDSS J111010.01+011613.1                  	2MASS J11101001+0116130
      51	ABDMG 	2MASS J14252798-3650229    	L4{gamma}    	14 25 27.98	-36 50 23.0	-285.00	 1.00	-463.00	 1.00	  5.40	 0.30	 11.60	 0.10	           	  1	  8	 26       	 43	J14252798-3650229	J142527.73-365028.0	                   	                                          	2MASS J14252798-3650229
      52	ABDMG 	HIP 81084                  	M0.5V        	16 33 41.54	-09 33 14.6	 -64.80	 0.20	-177.80	 0.10	-15.00	 0.40	 31.00	 0.30	           	 11	  5	  7       	  5	J16334161-0933116	J163341.56-093313.8	4338433739425072256	                                          	HIP 81084
      53	ABDMG 	HD 152555                  	G0V          	16 54 08.11	-04 20 26.4	 -38.12	 0.07	-114.21	 0.05	-16.50	 0.40	 45.30	 0.60	           	 11	  5	  7       	  5	J16540815-0420248	J165408.12-042025.7	4377537458152423424	HIP 82688                                 	HD 152555
      54	ABDMG 	HIP 94235 AB               	G1V          	19 10 57.87	-60 16 21.4	  11.52	 0.06	-100.64	 0.05	  8.70	 0.30	 58.90	 0.90	           	 35	  5	 20       	  5	J19105782-6016202	J191057.85-601621.0	6632318357101555456	                                          	2MASS J19105782-6016202
      55	ABDMG 	Rukbat                     	B8           	19 23 53.22	-40 36 59.2	  30.50	 0.40	-119.20	 0.20	 -1.00	 3.00	 55.70	 0.70	           	 25	 16	  6       	 16	J19235315-4036571	J192353.21-403658.7	6713727057010006912	HD 181869; HIP 95347                      	Rukbat
      56	ABDMG 	HD 201919                  	K6Ve         	21 13 05.36	-17 29 14.9	  77.00	 2.00	-148.00	 1.00	 -7.40	 0.80	 37.20	 0.70	           	 14	  5	 30       	  5	J21130526-1729126	J211305.33-172914.2	6834123752050004224	                                          	HD 201919
      57	ABDMG 	HD 209952                  	B6V          	22 08 13.98	-46 57 39.4	 126.70	 0.10	-147.50	 0.10	 11.00	 2.00	 31.00	 0.20	           	 32	 16	 20       	 16	J22081397-4657393	J220814.12-465740.9	                   	HIP 109268                                	HD 209952
      58	ABDMG 	Wolf 1225 A                	M3V          	22 23 29.05	+32 27 33.4	 255.00	 3.00	-208.00	 3.00	-21.00	 2.00	 16.00	 2.00	           	 11	 44	  7       	 16	J22232904+3227334	J222329.29+322730.8	                   	HIP 110526 A                              	Wolf 1225 A
      59	ABDMG 	Wolf 1225 B                	M1V          	22 23 29.05	+32 27 33.4	       	     	       	     	      	     	      	     	[COMPANION]	 37	   	          	   	                 	                   	                   	HIP 110526 B                              	Wolf 1225 B
      60	ABDMG 	HD 217379 A                	K8V          	23 00 28.09	-26 18 45.2	 117.40	 0.20	-159.80	 0.10	  6.00	 2.00	 32.00	 0.30	           	 11	  5	  7       	 16	J23002791-2618431	J230027.99-261844.7	2382705812662788608	HIP 113597 A                              	HD 217379 A
      61	ABDMG 	HD 217379 B                	             	23 00 27.94	-26 18 46.3	       	     	       	     	      	     	      	     	[COMPANION]	   	   	          	   	                 	                   	2382705812664639616	HIP 113597 B                              	HD 217379 B
      62	ABDMG 	HIP 114066                 	M1V          	23 06 05.24	+63 55 33.5	 173.70	 0.10	 -58.90	 0.10	-23.70	 0.80	 24.10	 0.20	           	  7	  5	  7       	  5	J23060482+6355339	J230605.11+635533.7	2207738912429172608	                                          	HIP 114066
      63	ABDMG 	HIP 115162                 	G4V          	23 19 39.67	+42 15 08.8	  77.85	 0.07	 -65.98	 0.09	-19.70	 0.20	 51.50	 0.60	           	 11	  5	  7       	  5	J23193955+4215098	J231939.63+421509.2	1924565636928925312	                                          	HIP 115162
      64	ABDMG 	HD 220825                  	A0           	23 26 55.96	+01 15 20.2	  86.70	 0.30	 -94.30	 0.20	 -4.40	 0.60	 47.10	 0.60	           	 25	 16	 20       	 16	J23265595+0115201	J232656.02+011519.3	                   	HIP 115738                                	HD 220825
      65	ABDMG 	HD 222575                  	G8V          	23 41 54.38	-35 58 40.8	  71.27	 0.07	 -66.12	 0.07	 11.00	 2.00	 65.00	 1.00	           	 35	  5	 30       	  5	J23415428-3558397	J234154.35-355840.4	2311789820931738624	HIP 116910                                	HD 222575
      66	ABDMG 	HD 223352 AB               	A0V          	23 48 55.55	-28 07 49.0	 100.80	 0.30	-105.30	 0.20	  9.00	 2.00	 42.10	 0.40	           	 45	 16	 25       	 16	J23485554-2807490	J234855.62-280750.3	                   	HIP 117452                                	2MASS J23485554-2807490
      67	BPMG  	HD 203                     	F2IV         	00 06 50.19	-23 06 27.9	  97.11	 0.03	 -47.28	 0.02	  7.00	 4.00	 39.70	 0.90	           	 46	  5	 20       	  5	J00065008-2306271	J000650.16-230627.4	2337191185233219072	HIP 560                                   	HD 203
      68	BPMG  	RBS 38                     	M2.5V        	00 17 23.80	-66 45 12.6	 104.00	 1.00	 -14.00	 1.00	 10.70	 0.20	 39.00	 3.00	           	 14	 47	 14       	 48	J00172353-6645124	J001723.72-664512.5	4707563810327288192	                                          	RBS 38
      69	BPMG  	GJ 2006 A                  	M3.5Ve       	00 27 50.36	-32 33 07.0	  98.00	 1.00	 -61.00	 4.00	  8.80	 0.20	 33.00	 3.00	           	 14	 47	 14       	 48	J00275023-3233060	J002750.32-323306.8	2315841864877478400	                                          	GJ 2006 A
